DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST,DEP_TIME,DEP_DEL15,DEP_TIME_BLK,ARR_TIME,ARR_DEL15,CANCELLED,DIVERTED,DISTANCE,Unnamed: 21
15,2,MQ,20398,MQ,N675AE,4094,11193,1119302,CVG,13930,1393007,ORD,705.0,0.0,0700-0759,744.0,0.0,0.0,0.0,264.0,
5,6,UA,19977,UA,N27503,494,12892,1289208,LAX,12266,1226603,IAH,1740.0,0.0,1700-1759,2240.0,0.0,0.0,0.0,1379.0,
13,7,DL,19790,DL,N930AT,2636,11433,1143302,DTW,11618,1161802,EWR,1358.0,0.0,1400-1459,1540.0,0.0,0.0,0.0,488.0,
27,7,WN,19393,WN,N465WN,4448,11259,1125904,DAL,10423,1042302,AUS,1306.0,0.0,1300-1359,1355.0,0.0,0.0,0.0,189.0,
4,5,9E,20363,9E,N607LR,5041,10397,1039707,ATL,13367,1336705,MLI,1541.0,0.0,1500-1559,1627.0,0.0,0.0,0.0,633.0,
1,2,AA,19805,AA,N817AW,1830,12889,1288903,LAS,11057,1105703,CLT,1004.0,0.0,1000-1059,1705.0,0.0,0.0,0.0,1916.0,
16,3,MQ,20398,MQ,N622AE,3844,13303,1330303,MIA,15249,1524906,TLH,1724.0,0.0,1700-1759,1851.0,0.0,0.0,0.0,402.0,
7,1,AS,19930,AS,N481AS,616,14747,1474703,SEA,12889,1288903,LAS,1954.0,0.0,1900-1959,2222.0,0.0,0.0,0.0,867.0,
23,3,YX,20452,YX,N873RW,5873,11066,1106606,CMH,11433,1143302,DTW,,,0600-0659,,,1.0,0.0,155.0,
29,2,YV,20378,YV,N88331,6339,15376,1537604,TUS,12266,1226603,IAH,1205.0,0.0,1200-1259,1512.0,0.0,0.0,0.0,936.0,
15,2,WN,19393,WN,N8319F,2140,12889,1288903,LAS,13796,1379608,OAK,1011.0,0.0,1000-1059,1148.0,0.0,0.0,0.0,407.0,
3,4,G4,20368,G4,228NV,846,14112,1411206,PIE,14108,1410803,PIA,640.0,0.0,0600-0659,802.0,0.0,0.0,0.0,965.0,
21,1,AA,19805,AA,N107US,1944,11057,1105703,CLT,12451,1245102,JAX,918.0,0.0,0900-0959,1029.0,0.0,0.0,0.0,328.0,
10,4,WN,19393,WN,N716SW,523,13198,1319801,MCI,13342,1334207,MKE,835.0,0.0,0800-0859,948.0,0.0,0.0,0.0,436.0,
16,3,MQ,20398,MQ,N694AE,3393,13303,1330303,MIA,10599,1059904,BHM,2142.0,0.0,2100-2159,2303.0,0.0,0.0,0.0,661.0,
16,3,F9,20436,F9,N311FR,1514,14771,1477104,SFO,10397,1039707,ATL,1357.0,1.0,1000-1059,2133.0,1.0,0.0,0.0,2139.0,
